Data Series,Market,Region,Country,Import (Million Dollars),Export (Million Dollars)
2006 Jan,Total All Markets,America,United States,3082.7,1715.8
2006 Jan,Total All Markets,America,United States Virgin Islands,0,0.1
2006 Jan,Total All Markets,America,Uruguay,2.1,0.6
2006 Jan,Total All Markets,America,Venezuela,51.6,0.6
2006 Jan,Total All Markets,Asia,Afghanistan,0.2,0.1
2006 Jan,Total All Markets,Asia,Bahrain,141.7,2.9
2006 Jan,Total All Markets,Asia,Bangladesh,23.6,42.9
2006 Jan,Total All Markets,Asia,Brunei,74.9,23.9
2006 Jan,Total All Markets,Asia,Cambodia,49.1,39.2
2006 Jan,Total All Markets,Asia,China,3168.3,1452.7
2006 Jan,Total All Markets,Asia,Christmas Island,0,0
2006 Jan,Total All Markets,Asia,Hong Kong,512.5,1718.5
2006 Jan,Total All Markets,Asia,India,380.2,313.4
2006 Jan,Total All Markets,Asia,Indonesia,1739.6,1204.9
2006 Jan,Total All Markets,Asia,Iran,71.6,17.4
2006 Jan,Total All Markets,Asia,Iraq,171.8,0
2006 Jan,Total All Markets,Asia,Israel,72.7,17.7
2006 Jan,Total All Markets,Asia,Japan,2153.5,1037
2006 Jan,Total All Markets,Asia,Jordan,0.1,2.4
2006 Jan,Total All Markets,Asia,Kazakhstan,0,1.3
2006 Jan,Total All Markets,Asia,"Korea, Dem Peo Rep Of",0.2,6.1
2006 Jan,Total All Markets,Asia,"Korea, Rep Of",1232.7,461.2
2006 Jan,Total All Markets,Asia,Kuwait,617.4,4.8
2006 Jan,Total All Markets,Asia,Lao,0.3,0.6
2006 Jan,Total All Markets,Asia,Lebanon,0.1,1.5
2006 Jan,Total All Markets,Asia,Macao,1.4,0.4
2006 Jan,Total All Markets,Asia,Malaysia,4003.6,1684.1
2006 Jan,Total All Markets,Asia,Maldives,0.4,8.1
2006 Jan,Total All Markets,Asia,Mongolia,0,1.5
2006 Jan,Total All Markets,Asia,Myanmar,8.3,34.4
2006 Jan,Total All Markets,Asia,NA,19858.7,10412
2006 Jan,Total All Markets,Asia,Nepal,0.3,1.6
2006 Jan,Total All Markets,Asia,Oman,49.8,4
2006 Jan,Total All Markets,Asia,Other Markets Asia,1.4,4
2006 Jan,Total All Markets,Asia,Pakistan,4.4,38.6
2006 Jan,Total All Markets,Asia,Philippines,597.8,374
2006 Jan,Total All Markets,Asia,Qatar,353.2,7.3
2006 Jan,Total All Markets,Asia,Saudi Arabia,1141.2,27.4
2006 Jan,Total All Markets,Asia,Sri Lanka,7.1,41.1
2006 Jan,Total All Markets,Asia,Syria,0,36.7
2006 Jan,Total All Markets,Asia,Taiwan,1695.1,684.9
2006 Jan,Total All Markets,Asia,Thailand,1009.4,659.7
2006 Jan,Total All Markets,Asia,Turkiye,7.6,16.2
2006 Jan,Total All Markets,Asia,United Arab Emirates,325.5,152.2
2006 Jan,Total All Markets,Asia,Viet Nam,241.2,285
2006 Jan,Total All Markets,Asia,Yemen,0.4,2.6
2006 Jan,Total All Markets,Europe,Austria,81.7,11.1
2006 Jan,Total All Markets,Europe,Belarus,3.6,0.1
2006 Jan,Total All Markets,Europe,Belgium,90.5,133.8
2006 Jan,Total All Markets,Europe,Bulgaria,0.5,0.1
2006 Jan,Total All Markets,Europe,Croatia,1.1,1.5
2006 Jan,Total All Markets,Europe,Cyprus,0.4,45.4
2006 Jan,Total All Markets,Europe,Czech Rep,7.4,8.9
2006 Jan,Total All Markets,Europe,Denmark,74,70.6
2006 Jan,Total All Markets,Europe,Estonia,0.1,0.4
2006 Jan,Total All Markets,Europe,Finland,41.8,25.3
2006 Jan,Total All Markets,Europe,France,531.3,486
2006 Jan,Total All Markets,Europe,Germany,755.8,557.1
2006 Jan,Total All Markets,Europe,Greece,9.9,25.1
2006 Jan,Total All Markets,Europe,Hungary,18.5,27.5
2006 Jan,Total All Markets,Europe,Ireland,72.1,91.3
2006 Jan,Total All Markets,Europe,Italy,312.7,24.2
2006 Jan,Total All Markets,Europe,Latvia,27.7,1.6
2006 Jan,Total All Markets,Europe,Lithuania,0.7,0.2
2006 Jan,Total All Markets,Europe,Luxembourg,0.8,24.9
2006 Jan,Total All Markets,Europe,Malta,52.7,58.3
2006 Jan,Total All Markets,Europe,NA,3559.3,3517
2006 Jan,Total All Markets,Europe,Netherlands,158,284.6
2006 Jan,Total All Markets,Europe,Norway,58.9,18.2
2006 Jan,Total All Markets,Europe,Other Markets Europe,0.4,1.3
2006 Jan,Total All Markets,Europe,Poland,6.4,4.9
2006 Jan,Total All Markets,Europe,Portugal,26.4,3.8
2006 Jan,Total All Markets,Europe,Romania,4.2,1.9
2006 Jan,Total All Markets,Europe,Russia,86.9,11.6
2006 Jan,Total All Markets,Europe,Slovakia,3.3,3
2006 Jan,Total All Markets,Europe,Slovenia,0.7,0.7
2006 Jan,Total All Markets,Europe,Spain,50.4,25.3
2006 Jan,Total All Markets,Europe,Svalbard And Jan Mayen Islands,0,0
2006 Jan,Total All Markets,Europe,Sweden,97.5,9.5
2006 Jan,Total All Markets,Europe,Switzerland,268.4,94.3
2006 Jan,Total All Markets,Europe,Ukraine,134.8,3.3
2006 Jan,Total All Markets,Europe,United Kingdom,579.7,1461.3
2006 Jan,Total All Markets,NA,NA,27375.9,17830.7
2006 Jan,Total All Markets,Oceania,Antarctica,0,0
2006 Jan,Total All Markets,Oceania,Australia,328.1,722.7
2006 Jan,Total All Markets,Oceania,Fiji,0.7,42.8
2006 Jan,Total All Markets,Oceania,French Polynesia,0,11
2006 Jan,Total All Markets,Oceania,Guam,0.2,72.8
2006 Jan,Total All Markets,Oceania,Marshall Islands,0,35.5
2006 Jan,Total All Markets,Oceania,NA,373,1112.3
2006 Jan,Total All Markets,Oceania,New Caledonia,0,54.6
2006 Jan,Total All Markets,Oceania,New Zealand,37.7,116.6
2006 Jan,Total All Markets,Oceania,Northern Mariana Islands,0.2,9.7
2006 Jan,Total All Markets,Oceania,Other Markets Oceania,0.3,13.3
2006 Jan,Total All Markets,Oceania,Papua New Guinea,4.9,18
2006 Jan,Total All Markets,Oceania,Samoa,0,5.3
2006 Jan,Total All Markets,Oceania,Solomon Islands,0.7,4.8
2006 Jan,Total All Markets,Oceania,Vanuatu,0.3,5
2006 Jul,Total All Markets,Africa,Algeria,0,0.4
2006 Jul,Total All Markets,Africa,Angola,0,0.9
2006 Jul,Total All Markets,Africa,Benin,0.1,0.2
2006 Jul,Total All Markets,Africa,Cameroon,0.1,0.6
2006 Jul,Total All Markets,Africa,Cape Verde,0,0
2006 Jul,Total All Markets,Africa,Comoros,0,0.2
2006 Jul,Total All Markets,Africa,"Congo, Dem Rep Of",0.1,0
2006 Jul,Total All Markets,Africa,Cote D'ivoire,0.2,0.2
2006 Jul,Total All Markets,Africa,Djibouti,0,2.3
2006 Jul,Total All Markets,Africa,Egypt,10,15
2006 Jul,Total All Markets,Africa,Ethiopia,0.3,0.4
2006 Jul,Total All Markets,Africa,Gabon,28,0.2
2006 Jul,Total All Markets,Africa,Ghana,7.5,2.9
2006 Jul,Total All Markets,Africa,Guinea,0.1,0.1
2006 Jul,Total All Markets,Africa,Kenya,1.1,2.2
2006 Jul,Total All Markets,Africa,Liberia,0,125.8
2006 Jul,Total All Markets,Africa,Libya,0,5.2
2006 Jul,Total All Markets,Africa,Madagascar,1.8,1.9
2006 Jul,Total All Markets,Africa,Mauritius,0.9,2.8
2006 Jul,Total All Markets,Africa,Morocco,36.2,29.2
2006 Jul,Total All Markets,Africa,Mozambique,0,0
2006 Jul,Total All Markets,Africa,NA,180.3,309.7
2006 Jul,Total All Markets,Africa,Nigeria,0.8,4.8
2006 Jul,Total All Markets,Africa,Other Markets Africa,2.1,2.2
2006 Jul,Total All Markets,Africa,Reunion,0.7,70.4
2006 Jul,Total All Markets,Africa,Seychelles,0.1,2.9
2006 Jul,Total All Markets,Africa,Sierra Leone,0,0.1
2006 Jul,Total All Markets,Africa,Somalia,0,0
2006 Jul,Total All Markets,Africa,South Africa,88.7,33.5
2006 Jul,Total All Markets,Africa,Sudan,0.2,3.4
2006 Jul,Total All Markets,Africa,Swaziland,0.1,0.2
2006 Jul,Total All Markets,Africa,Tanzania,0.1,0.5
2006 Jul,Total All Markets,Africa,Tunisia,0.3,0.8
2006 Jul,Total All Markets,Africa,Zambia,0.3,0.2
2006 Jul,Total All Markets,Africa,Zimbabwe,0.6,0.2
2006 Jul,Total All Markets,America,Antigua And Barbuda,0,19
2006 Jul,Total All Markets,America,Argentina,3.2,4.2
2006 Jul,Total All Markets,America,Bahamas,8.1,35.2
2006 Jul,Total All Markets,America,Bermuda,0,13.6
2006 Jul,Total All Markets,America,Brazil,67.4,155.2
2006 Jul,Total All Markets,America,Canada,135.9,50.1
2006 Jul,Total All Markets,America,Chile,12,2.3
2006 Jul,Total All Markets,America,Colombia,71.4,1.7
2006 Jul,Total All Markets,America,Costa Rica,23.1,1.6
2006 Jul,Total All Markets,America,Cuba,0.3,0
2006 Jul,Total All Markets,America,Dominican Rep,3.2,0.5
2006 Jul,Total All Markets,America,Ecuador,1,0.9
2006 Jul,Total All Markets,America,El Salvador,1.9,0.1
2006 Jul,Total All Markets,America,Guatemala,0,0.2
2006 Jul,Total All Markets,America,Guyana,0,0.1
2006 Jul,Total All Markets,America,Honduras,1.3,0.6
2006 Jul,Total All Markets,America,Jamaica,0,0.1
2006 Jul,Total All Markets,America,Mexico,71.8,90.5
2006 Jul,Total All Markets,America,NA,4401.5,3303.1
2006 Jul,Total All Markets,America,Netherlands Antilles,0,6.5
2006 Jul,Total All Markets,America,Other Markets America,0.2,6.1
2006 Jul,Total All Markets,America,Panama,1,333.7
2006 Jul,Total All Markets,America,Paraguay,0.2,0
2006 Jul,Total All Markets,America,Peru,10.1,0.7
2006 Jul,Total All Markets,America,Puerto Rico,49,114
2006 Jul,Total All Markets,America,St. Vincent And The Grenadines,0,10.4
2006 Jul,Total All Markets,America,Trinidad And Tobago,0,0.3
2006 Jul,Total All Markets,America,United States,3922.3,2453.9
2006 Jul,Total All Markets,America,United States Virgin Islands,0,0
2006 Jul,Total All Markets,America,Uruguay,1.9,0.3
2006 Jul,Total All Markets,America,Venezuela,16.1,1.5
2006 Jul,Total All Markets,Asia,Afghanistan,0.7,0
2006 Jul,Total All Markets,Asia,Bahrain,39.2,2.5
2006 Jul,Total All Markets,Asia,Bangladesh,11.1,31.4
2006 Jul,Total All Markets,Asia,Brunei,17.1,25.5
2006 Jul,Total All Markets,Asia,Cambodia,13.4,25.6
2006 Jul,Total All Markets,Asia,China,3517.9,1510.9
2006 Jul,Total All Markets,Asia,Christmas Island,0,0
2006 Jul,Total All Markets,Asia,Hong Kong,558.4,2003.6
2006 Jul,Total All Markets,Asia,India,781.5,459.7
2006 Jul,Total All Markets,Asia,Indonesia,2515.4,1519.3
2006 Jul,Total All Markets,Asia,Iran,263.7,24.2
2006 Jul,Total All Markets,Asia,Iraq,53.6,0
2006 Jul,Total All Markets,Asia,Israel,84,26.4
2006 Jul,Total All Markets,Asia,Japan,2686.6,1103.9
2006 Jul,Total All Markets,Asia,Jordan,0.3,1.7
2006 Jul,Total All Markets,Asia,Kazakhstan,0,2.2
2006 Jul,Total All Markets,Asia,"Korea, Dem Peo Rep Of",0.2,6.7
2006 Jul,Total All Markets,Asia,"Korea, Rep Of",1471.7,437.1
2006 Jul,Total All Markets,Asia,Kuwait,678.9,8.1
2006 Jul,Total All Markets,Asia,Lao,0,0.2
2006 Jul,Total All Markets,Asia,Lebanon,0.3,1.2
2006 Jul,Total All Markets,Asia,Macao,3.5,1.3
2006 Jul,Total All Markets,Asia,Malaysia,4132.4,1991.1
2006 Jul,Total All Markets,Asia,Maldives,0.2,7
2006 Jul,Total All Markets,Asia,Mongolia,0.1,1.6
2006 Jul,Total All Markets,Asia,Myanmar,10.9,39.3
2006 Jul,Total All Markets,Asia,NA,23415.6,11943.6
2006 Jul,Total All Markets,Asia,Nepal,0.7,1.6
2006 Jul,Total All Markets,Asia,Oman,25,7.2
2006 Jul,Total All Markets,Asia,Other Markets Asia,1.4,1.7
2006 Jul,Total All Markets,Asia,Pakistan,4.8,39.5
2006 Jul,Total All Markets,Asia,Philippines,761,460.7
2006 Jul,Total All Markets,Asia,Qatar,289.4,20
2006 Jul,Total All Markets,Asia,Saudi Arabia,1385,48.1
2006 Jul,Total All Markets,Asia,Sri Lanka,6.2,51.8
2006 Jul,Total All Markets,Asia,Syria,0.1,1.1
2006 Jul,Total All Markets,Asia,Taiwan,2015.2,687
2006 Jul,Total All Markets,Asia,Thailand,1242.6,769.2
2006 Jul,Total All Markets,Asia,Turkiye,25.4,17.4
2006 Jul,Total All Markets,Asia,United Arab Emirates,619.9,180.7
2006 Jul,Total All Markets,Asia,Viet Nam,196.4,424.7
2006 Jul,Total All Markets,Asia,Yemen,1.2,2.3
2006 Jul,Total All Markets,Europe,Austria,105.2,11
2006 Jul,Total All Markets,Europe,Belarus,4.4,0
2006 Jul,Total All Markets,Europe,Belgium,99.8,146.9
2006 Jul,Total All Markets,Europe,Bulgaria,16.7,0.1
2006 Jul,Total All Markets,Europe,Croatia,1.2,2.6
2006 Jul,Total All Markets,Europe,Cyprus,0.4,57.1
2006 Jul,Total All Markets,Europe,Czech Rep,13.9,8.2
2006 Jul,Total All Markets,Europe,Denmark,47.4,16
2006 Jul,Total All Markets,Europe,Estonia,0.8,1.1
2006 Jul,Total All Markets,Europe,Finland,51.4,16.2
2006 Jul,Total All Markets,Europe,France,775.7,278.3
2006 Jul,Total All Markets,Europe,Germany,961.9,470
2006 Jul,Total All Markets,Europe,Greece,17.6,32.3
2006 Jul,Total All Markets,Europe,Hungary,23.2,45.2
2006 Jul,Total All Markets,Europe,Ireland,124.8,129
2006 Jul,Total All Markets,Europe,Italy,387.8,50.1
2006 Jul,Total All Markets,Europe,Latvia,2.1,1.2
2006 Jul,Total All Markets,Europe,Lithuania,1.7,0.3
2006 Jul,Total All Markets,Europe,Luxembourg,2.5,10.1
2006 Jul,Total All Markets,Europe,Malta,61.6,55.2
2006 Jul,Total All Markets,Europe,NA,4530.7,2354.8
2006 Jul,Total All Markets,Europe,Netherlands,345.5,329.1
2006 Jul,Total All Markets,Europe,Norway,73.5,17.8
2006 Jul,Total All Markets,Europe,Other Markets Europe,0.8,1
2006 Jul,Total All Markets,Europe,Poland,12.4,6.8
2006 Jul,Total All Markets,Europe,Portugal,23.3,5.8
2006 Jul,Total All Markets,Europe,Romania,17.7,1.5
2006 Jul,Total All Markets,Europe,Russia,143.8,30.6
2006 Jul,Total All Markets,Europe,Slovakia,3.2,2.5
2006 Jul,Total All Markets,Europe,Slovenia,1.2,0.8
2006 Jul,Total All Markets,Europe,Spain,74.4,50
2006 Jul,Total All Markets,Europe,Svalbard And Jan Mayen Islands,0,0
2006 Jul,Total All Markets,Europe,Sweden,116.9,13.5
2006 Jul,Total All Markets,Europe,Switzerland,269,73.6
2006 Jul,Total All Markets,Europe,Ukraine,89.5,2.1
2006 Jul,Total All Markets,Europe,United Kingdom,659.3,489
2006 Jul,Total All Markets,NA,NA,33155.2,19041.4
2006 Jul,Total All Markets,Oceania,Antarctica,0,0
2006 Jul,Total All Markets,Oceania,Australia,574.2,819.9
2006 Jul,Total All Markets,Oceania,Fiji,0.5,51.7
2006 Jul,Total All Markets,Oceania,French Polynesia,0,18
2006 Jul,Total All Markets,Oceania,Guam,0.1,45.1
2006 Jul,Total All Markets,Oceania,Marshall Islands,0,50.1
2006 Jul,Total All Markets,Oceania,NA,627.1,1130.1
2006 Jul,Total All Markets,Oceania,New Caledonia,0,34.6
2006 Jul,Total All Markets,Oceania,New Zealand,43.6,42.3
2006 Jul,Total All Markets,Oceania,Northern Mariana Islands,0,9.1
2006 Jul,Total All Markets,Oceania,Other Markets Oceania,0.4,21.2
2006 Jul,Total All Markets,Oceania,Papua New Guinea,7.1,28.1
2006 Jul,Total All Markets,Oceania,Samoa,0,0.3
2006 Jul,Total All Markets,Oceania,Solomon Islands,0.7,6
2006 Jul,Total All Markets,Oceania,Vanuatu,0.5,3.5
2006 Jun,Total All Markets,Africa,Algeria,0,0.9
2006 Jun,Total All Markets,Africa,Angola,16.1,1
2006 Jun,Total All Markets,Africa,Benin,0.1,0.5
2006 Jun,Total All Markets,Africa,Cameroon,0,0.7
2006 Jun,Total All Markets,Africa,Cape Verde,0,0
2006 Jun,Total All Markets,Africa,Comoros,0,0.4
2006 Jun,Total All Markets,Africa,"Congo, Dem Rep Of",0,0.2
2006 Jun,Total All Markets,Africa,Cote D'ivoire,1.6,0.6
2006 Jun,Total All Markets,Africa,Djibouti,0,0.8
2006 Jun,Total All Markets,Africa,Egypt,36.8,19
2006 Jun,Total All Markets,Africa,Ethiopia,0,0.6
2006 Jun,Total All Markets,Africa,Gabon,3.2,0
2006 Jun,Total All Markets,Africa,Ghana,0.6,2
2006 Jun,Total All Markets,Africa,Guinea,0,0
2006 Jun,Total All Markets,Africa,Kenya,1.9,2.1
2006 Jun,Total All Markets,Africa,Liberia,0,152.6
2006 Jun,Total All Markets,Africa,Libya,0,2.3
2006 Jun,Total All Markets,Africa,Madagascar,2.5,1.1
2006 Jun,Total All Markets,Africa,Mauritius,0.9,2.6
2006 Jun,Total All Markets,Africa,Morocco,36.3,29.6
2006 Jun,Total All Markets,Africa,Mozambique,0,0.3
2006 Jun,Total All Markets,Africa,NA,209.8,332.8
2006 Jun,Total All Markets,Africa,Nigeria,0.6,12.7
2006 Jun,Total All Markets,Africa,Other Markets Africa,2.3,2.2
2006 Jun,Total All Markets,Africa,Reunion,0.4,45.5
2006 Jun,Total All Markets,Africa,Seychelles,0.4,1.7
2006 Jun,Total All Markets,Africa,Sierra Leone,0,0.1
2006 Jun,Total All Markets,Africa,Somalia,0,0
2006 Jun,Total All Markets,Africa,South Africa,77.4,51
2006 Jun,Total All Markets,Africa,Sudan,25.9,1
2006 Jun,Total All Markets,Africa,Swaziland,0.1,0.2
2006 Jun,Total All Markets,Africa,Tanzania,0.2,0.4
2006 Jun,Total All Markets,Africa,Tunisia,0.3,0.2
2006 Jun,Total All Markets,Africa,Zambia,0.7,0
2006 Jun,Total All Markets,Africa,Zimbabwe,1.7,0.3
2006 Jun,Total All Markets,America,Antigua And Barbuda,0,14.5
2006 Jun,Total All Markets,America,Argentina,4.2,6
2006 Jun,Total All Markets,America,Bahamas,9.9,39.2
2006 Jun,Total All Markets,America,Bermuda,0,9.1
2006 Jun,Total All Markets,America,Brazil,133.2,73
2006 Jun,Total All Markets,America,Canada,122.7,51.5
2006 Jun,Total All Markets,America,Chile,5,1
2006 Jun,Total All Markets,America,Colombia,3.5,2.6
2006 Jun,Total All Markets,America,Costa Rica,32.8,2.1
2006 Jun,Total All Markets,America,Cuba,0.5,0.1
2006 Jun,Total All Markets,America,Dominican Rep,4.4,0.7
2006 Jun,Total All Markets,America,Ecuador,2.1,0.6
2006 Jun,Total All Markets,America,El Salvador,1.2,0.2
2006 Jun,Total All Markets,America,Guatemala,0.6,0.1
2006 Jun,Total All Markets,America,Guyana,0.1,0.1
2006 Jun,Total All Markets,America,Honduras,0.1,0.6
2006 Jun,Total All Markets,America,Jamaica,0.1,0
2006 Jun,Total All Markets,America,Mexico,72.8,107.2
2006 Jun,Total All Markets,America,NA,4313,3023.6
2006 Jun,Total All Markets,America,Netherlands Antilles,0.1,2.8
2006 Jun,Total All Markets,America,Other Markets America,0.5,5
2006 Jun,Total All Markets,America,Panama,0.1,404.4
2006 Jun,Total All Markets,America,Paraguay,0.1,0
2006 Jun,Total All Markets,America,Peru,0.8,0.7
2006 Jun,Total All Markets,America,Puerto Rico,16.5,95.2
2006 Jun,Total All Markets,America,St. Vincent And The Grenadines,0,16.7
2006 Jun,Total All Markets,America,Trinidad And Tobago,4.3,0.3
2006 Jun,Total All Markets,America,United States,3860.6,2187.5
2006 Jun,Total All Markets,America,United States Virgin Islands,0,0
2006 Jun,Total All Markets,America,Uruguay,1.6,0.4
2006 Jun,Total All Markets,America,Venezuela,35.2,1.9
2006 Jun,Total All Markets,Asia,Afghanistan,0.1,0.2
2006 Jun,Total All Markets,Asia,Bahrain,40.3,5
2006 Jun,Total All Markets,Asia,Bangladesh,17.4,40.7
2006 Jun,Total All Markets,Asia,Brunei,16.5,25.1
2006 Jun,Total All Markets,Asia,Cambodia,13.9,39.7
2006 Jun,Total All Markets,Asia,China,3558.1,1769.6
2006 Jun,Total All Markets,Asia,Christmas Island,0,0.1
2006 Jun,Total All Markets,Asia,Hong Kong,550.4,1830.6
2006 Jun,Total All Markets,Asia,India,644.5,466
2006 Jun,Total All Markets,Asia,Indonesia,2140.4,1684.8
2006 Jun,Total All Markets,Asia,Iran,318.5,19.3
2006 Jun,Total All Markets,Asia,Iraq,310.8,0
2006 Jun,Total All Markets,Asia,Israel,60.4,24.2
2006 Jun,Total All Markets,Asia,Japan,2830.3,1178.2
2006 Jun,Total All Markets,Asia,Jordan,0.6,4.6
2006 Jun,Total All Markets,Asia,Kazakhstan,0.3,2
2006 Jun,Total All Markets,Asia,"Korea, Dem Peo Rep Of",0.1,4.7
2006 Jun,Total All Markets,Asia,"Korea, Rep Of",1669.8,476.1
2006 Jun,Total All Markets,Asia,Kuwait,708.1,9.7
2006 Jun,Total All Markets,Asia,Lao,0,0.3
2006 Jun,Total All Markets,Asia,Lebanon,0.2,4.2
2006 Jun,Total All Markets,Asia,Macao,1.8,0.9
2006 Jun,Total All Markets,Asia,Malaysia,4268.5,2026
2006 Jun,Total All Markets,Asia,Maldives,0.3,7.7
2006 Jun,Total All Markets,Asia,Mongolia,0,2.1
2006 Jun,Total All Markets,Asia,Myanmar,9.5,31.3
2006 Jun,Total All Markets,Asia,NA,24201.2,12867
2006 Jun,Total All Markets,Asia,Nepal,0.5,1.5
2006 Jun,Total All Markets,Asia,Oman,1,6.2
2006 Jun,Total All Markets,Asia,Other Markets Asia,22.4,3.7
2006 Jun,Total All Markets,Asia,Pakistan,18.1,38.1
2006 Jun,Total All Markets,Asia,Philippines,738.2,487.9
2006 Jun,Total All Markets,Asia,Qatar,336.2,14.5
2006 Jun,Total All Markets,Asia,Saudi Arabia,937.1,40.2
2006 Jun,Total All Markets,Asia,Sri Lanka,9.1,213.2
2006 Jun,Total All Markets,Asia,Syria,0.1,3.8
2006 Jun,Total All Markets,Asia,Taiwan,2970.6,737.9
2006 Jun,Total All Markets,Asia,Thailand,1024.3,781
2006 Jun,Total All Markets,Asia,Turkiye,36.7,11.5
2006 Jun,Total All Markets,Asia,United Arab Emirates,755.5,182.8
2006 Jun,Total All Markets,Asia,Viet Nam,189.9,687.1
2006 Jun,Total All Markets,Asia,Yemen,0.7,4.4
2006 Jun,Total All Markets,Europe,Austria,98.2,7.6
2006 Jun,Total All Markets,Europe,Belarus,2.9,0.1
2006 Jun,Total All Markets,Europe,Belgium,98.1,152.7
2006 Jun,Total All Markets,Europe,Bulgaria,16.8,0.3
2006 Jun,Total All Markets,Europe,Croatia,1,1.1
2006 Jun,Total All Markets,Europe,Cyprus,0.5,43.2
2006 Jun,Total All Markets,Europe,Czech Rep,11.4,6.9
2006 Jun,Total All Markets,Europe,Denmark,40.3,21.3
2006 Jun,Total All Markets,Europe,Estonia,0.3,0.7
2006 Jun,Total All Markets,Europe,Finland,61.4,17.9
2006 Jun,Total All Markets,Europe,France,760.5,281.9
2006 Jun,Total All Markets,Europe,Germany,912.2,459.3
2006 Jun,Total All Markets,Europe,Greece,15.2,35.8
2006 Jun,Total All Markets,Europe,Hungary,20.8,39.7
2006 Jun,Total All Markets,Europe,Ireland,118.4,100.4
2006 Jun,Total All Markets,Europe,Italy,320.6,36.4
2006 Jun,Total All Markets,Europe,Latvia,0.4,2
2006 Jun,Total All Markets,Europe,Lithuania,1.9,0.2
2006 Jun,Total All Markets,Europe,Luxembourg,4.8,29.6
2006 Jun,Total All Markets,Europe,Malta,57.3,64.3
2006 Jun,Total All Markets,Europe,NA,4137.4,2551.4
2006 Jun,Total All Markets,Europe,Netherlands,273.1,304.4
2006 Jun,Total All Markets,Europe,Norway,89.7,38.4
2006 Jun,Total All Markets,Europe,Other Markets Europe,0.9,1.1
2006 Jun,Total All Markets,Europe,Poland,14.7,5.4
2006 Jun,Total All Markets,Europe,Portugal,21.1,6.4
2006 Jun,Total All Markets,Europe,Romania,9.4,2.4
2006 Jun,Total All Markets,Europe,Russia,166.7,24.4
2006 Jun,Total All Markets,Europe,Slovakia,4.2,4.1
2006 Jun,Total All Markets,Europe,Slovenia,1,1.1
2006 Jun,Total All Markets,Europe,Spain,64.8,45.6
2006 Jun,Total All Markets,Europe,Svalbard And Jan Mayen Islands,0,0
2006 Jun,Total All Markets,Europe,Sweden,131.4,11.2
2006 Jun,Total All Markets,Europe,Switzerland,243,117.6
2006 Jun,Total All Markets,Europe,Ukraine,18.5,4.2
2006 Jun,Total All Markets,Europe,United Kingdom,555.7,683.7
2006 Jun,Total All Markets,NA,NA,33778.4,20398.8
2006 Jun,Total All Markets,Oceania,Antarctica,0,0
2006 Jun,Total All Markets,Oceania,Australia,856.9,1091.3
2006 Jun,Total All Markets,Oceania,Fiji,0.6,71.9
2006 Jun,Total All Markets,Oceania,French Polynesia,1.3,81.7
2006 Jun,Total All Markets,Oceania,Guam,0.1,48.4
2006 Jun,Total All Markets,Oceania,Marshall Islands,0,58.7
2006 Jun,Total All Markets,Oceania,NA,916.9,1624
2006 Jun,Total All Markets,Oceania,New Caledonia,0,46.1
2006 Jun,Total All Markets,Oceania,New Zealand,51.8,149.1
2006 Jun,Total All Markets,Oceania,Northern Mariana Islands,0,11.4
2006 Jun,Total All Markets,Oceania,Other Markets Oceania,0.2,20.4
2006 Jun,Total All Markets,Oceania,Papua New Guinea,5,24.4
2006 Jun,Total All Markets,Oceania,Samoa,0,5.9
2006 Jun,Total All Markets,Oceania,Solomon Islands,0.9,9.8
2006 Jun,Total All Markets,Oceania,Vanuatu,0,5
2006 Mar,Total All Markets,Africa,Algeria,0,1.8
2006 Mar,Total All Markets,Africa,Angola,0,4.9
2006 Mar,Total All Markets,Africa,Benin,0,0.4
2006 Mar,Total All Markets,Africa,Cameroon,0.1,0.8
2006 Mar,Total All Markets,Africa,Cape Verde,0,0
2006 Mar,Total All Markets,Africa,Comoros,0,1.1
2006 Mar,Total All Markets,Africa,"Congo, Dem Rep Of",0.1,0.1
2006 Mar,Total All Markets,Africa,Cote D'ivoire,0.2,1.2
2006 Mar,Total All Markets,Africa,Djibouti,0,0.7
2006 Mar,Total All Markets,Africa,Egypt,4.6,12.1
2006 Mar,Total All Markets,Africa,Ethiopia,0,0.2
2006 Mar,Total All Markets,Africa,Gabon,9.8,0.2
2006 Mar,Total All Markets,Africa,Ghana,0.8,2.4
2006 Mar,Total All Markets,Africa,Guinea,0,0
2006 Mar,Total All Markets,Africa,Kenya,0.9,2.1
2006 Mar,Total All Markets,Africa,Liberia,0,107.4
2006 Mar,Total All Markets,Africa,Libya,0,1.5
2006 Mar,Total All Markets,Africa,Madagascar,7,2.2
2006 Mar,Total All Markets,Africa,Mauritius,0.5,4.4
2006 Mar,Total All Markets,Africa,Morocco,49.4,29.3
2006 Mar,Total All Markets,Africa,Mozambique,0,0
2006 Mar,Total All Markets,Africa,NA,134.2,359.8
2006 Mar,Total All Markets,Africa,Nigeria,0.7,3.4
2006 Mar,Total All Markets,Africa,Other Markets Africa,1.7,2.5
2006 Mar,Total All Markets,Africa,Reunion,0.2,39.8
2006 Mar,Total All Markets,Africa,Seychelles,0,1.2
2006 Mar,Total All Markets,Africa,Sierra Leone,0,0.1
2006 Mar,Total All Markets,Africa,Somalia,0,0
2006 Mar,Total All Markets,Africa,South Africa,52.1,133.7
2006 Mar,Total All Markets,Africa,Sudan,0,3.3
2006 Mar,Total All Markets,Africa,Swaziland,0.4,0
